--------- beginning of system
--------- beginning of crash
--------- beginning of main
02-24 20:22:36.764 14817 14880 W JankStats: JANK: 47ms | states: [Screen: home]
02-24 20:22:36.824 14817 14880 W JankStats: JANK: 59ms | states: [Screen: home]
02-24 20:22:36.878 14817 14880 W JankStats: JANK: 79ms | states: [Screen: home]
02-24 20:22:36.941 14817 14880 W JankStats: JANK: 92ms | states: [Screen: home]
02-24 20:22:37.001 14817 14880 W JankStats: JANK: 84ms | states: [Screen: home]
02-24 20:22:37.061 14817 14880 W JankStats: JANK: 79ms | states: [Screen: home]
02-24 20:22:37.129 14817 14880 W JankStats: JANK: 78ms | states: [Screen: home]
02-24 20:22:37.203 14817 14880 W JankStats: JANK: 100ms | states: [Screen: home]
02-24 20:22:37.250 14817 14880 W JankStats: JANK: 84ms | states: [Screen: home]
02-24 20:22:37.296 14817 14880 W JankStats: JANK: 64ms | states: [Screen: home]
02-24 20:22:37.340 14817 14880 W JankStats: JANK: 58ms | states: [Screen: home]
02-24 20:22:37.378 14817 14880 W JankStats: JANK: 62ms | states: [Screen: home]
02-24 20:22:37.437 14817 14880 W JankStats: JANK: 70ms | states: [Screen: home]
02-24 20:22:37.486 14817 14880 W JankStats: JANK: 70ms | states: [Screen: home]
02-24 20:22:37.523 14817 14880 W JankStats: JANK: 58ms | states: [Screen: home]
02-24 20:22:37.785 14817 14880 W JankStats: JANK: 85ms | states: [Screen: home]
02-24 20:22:37.804 14817 14880 W JankStats: JANK: 87ms | states: [Screen: home]
02-24 20:22:37.896 14817 14880 W JankStats: JANK: 64ms | states: [Screen: home]
02-24 20:22:37.977 14817 14880 W JankStats: JANK: 43ms | states: [Screen: home]
02-24 20:22:37.992 14817 14880 W JankStats: JANK: 41ms | states: [Screen: home]
02-24 20:22:38.158 14817 14880 W JankStats: JANK: 125ms | states: [Screen: home]
02-24 20:22:38.189 14817 14880 W JankStats: JANK: 140ms | states: [Screen: home]
02-24 20:22:38.267 14817 14880 W JankStats: JANK: 47ms | states: [Screen: home]
02-24 20:22:38.356 14817 14880 W JankStats: JANK: 86ms | states: [Screen: home]
02-24 20:22:38.385 14817 14880 W JankStats: JANK: 101ms | states: [Screen: home]
02-24 20:22:39.020 14817 14880 W JankStats: JANK: 36ms | states: [Screen: home]
02-24 20:22:39.035 14817 14880 W JankStats: JANK: 34ms | states: [Screen: home]
02-24 20:22:39.347 14817 14880 W JankStats: JANK: 45ms | states: [Screen: home]
02-24 20:22:39.372 14817 14880 W JankStats: JANK: 37ms | states: [Screen: home]
02-24 20:22:39.726 14817 14880 W JankStats: JANK: 41ms | states: [Screen: home]
02-24 20:22:40.459 14817 14880 W JankStats: JANK: 64ms | states: [Screen: home]
02-24 20:22:40.467 14817 14880 W JankStats: JANK: 38ms | states: [Screen: home]
02-24 20:22:40.486 14817 14880 W JankStats: JANK: 34ms | states: [Screen: home]
02-24 20:22:41.780 14817 14880 W JankStats: JANK: 43ms | states: [Screen: home]
02-24 20:22:42.038 14817 14880 W JankStats: JANK: 261ms | states: [Screen: addon_manager]
02-24 20:22:42.074 14817 14880 W JankStats: JANK: 262ms | states: [Screen: addon_manager]
02-24 20:22:42.278 14817 14880 W JankStats: JANK: 182ms | states: [Screen: addon_manager]
02-24 20:22:42.295 14817 14880 W JankStats: JANK: 209ms | states: [Screen: addon_manager]
02-24 20:22:43.952 14817 14880 W JankStats: JANK: 46ms | states: [Screen: addon_manager]
02-24 20:22:43.980 14817 14880 W JankStats: JANK: 55ms | states: [Screen: addon_manager]
02-24 20:22:44.385 14817 14880 W JankStats: JANK: 39ms | states: [Screen: addon_manager]
02-24 20:22:44.391 14817 14880 W JankStats: JANK: 35ms | states: [Screen: addon_manager]
02-24 20:22:45.542 14817 14880 W JankStats: JANK: 198ms | states: [Screen: settings]
02-24 20:22:45.602 14817 14880 W JankStats: JANK: 226ms | states: [Screen: settings]
02-24 20:22:45.616 14817 14880 W JankStats: JANK: 43ms | states: [Screen: settings]
02-24 20:22:47.105 14817 14880 W JankStats: JANK: 107ms | states: [Screen: settings]
02-24 20:22:48.958 14817 14880 W JankStats: JANK: 113ms | states: [Screen: settings]
02-24 20:22:48.963 14817 14880 W JankStats: JANK: 76ms | states: [Screen: settings]
02-24 20:22:50.263 14817 14880 W JankStats: JANK: 67ms | states: [Screen: settings]
02-24 20:22:52.080 14817 14880 W JankStats: JANK: 62ms | states: [Screen: settings]
02-24 20:22:52.092 14817 14880 W JankStats: JANK: 46ms | states: [Screen: settings]
02-24 20:22:53.047 14817 14880 W JankStats: JANK: 44ms | states: [Screen: settings]
02-24 20:22:55.067 14817 14880 W JankStats: JANK: 34ms | states: [Screen: settings]
02-24 20:22:55.172 14817 14880 W JankStats: JANK: 102ms | states: [Screen: addon_manager]
02-24 20:22:55.200 14817 14880 W JankStats: JANK: 111ms | states: [Screen: addon_manager]
02-24 20:22:56.072 14817 14880 W JankStats: JANK: 39ms | states: [Screen: addon_manager]
02-24 20:22:57.574 14817 14880 W JankStats: JANK: 54ms | states: [Screen: library]
02-24 20:22:57.592 14817 14880 W JankStats: JANK: 56ms | states: [Screen: library]
02-24 20:22:57.675 14817 14880 W JankStats: JANK: 55ms | states: [Screen: library]
02-24 20:22:57.694 14817 14880 W JankStats: JANK: 59ms | states: [Screen: library]
02-24 20:22:58.145 14817 14880 W JankStats: JANK: 38ms | states: [Screen: library]
02-24 20:22:59.250 14817 14880 W JankStats: JANK: 212ms | states: [Screen: home]
02-24 20:22:59.270 14817 14880 W JankStats: JANK: 216ms | states: [Screen: home]
02-24 20:22:59.309 14817 14880 W JankStats: JANK: 38ms | states: [Screen: home]
02-24 20:22:59.345 14817 14880 W JankStats: JANK: 40ms | states: [Screen: home]
02-24 20:23:00.464 14817 14880 W JankStats: JANK: 75ms | states: [Screen: home]
02-24 20:23:00.478 14817 14880 W JankStats: JANK: 73ms | states: [Screen: home]
02-24 20:23:00.841 14817 14880 W JankStats: JANK: 68ms | states: [Screen: home]
02-24 20:23:00.960 14817 14880 W JankStats: JANK: 137ms | states: [Screen: home]
02-24 20:23:01.073 14817 14880 W JankStats: JANK: 132ms | states: [Screen: home]
02-24 20:23:01.153 14817 14880 W JankStats: JANK: 113ms | states: [Screen: home]
02-24 20:23:01.170 14817 14880 W JankStats: JANK: 80ms | states: [Screen: home]
02-24 20:23:01.265 14817 14880 W JankStats: JANK: 53ms | states: [Screen: home]
